WOPOLIN PLASTICS LIMITED,L25209MH1970PLC015401,Under Liquidation,cs@bajajngp.com,"MIDC IND.ESTATE,MIDCNAGPUR585MH",23 November 1970,"45 years, 5 month, 12 days","150,000,000","63,460,180",Yes,https://www.zaubacorp.com/company/WOPOLIN-PLASTICS-LIMITED/L25209MH1970PLC015401
FAL INDUSTRIES LIMITED,L30001TN1962PLC004873,Amalgamated,-,"VILL-LEWESHAL, SATTAL ROADMEHRAGAON, POST-BHOWALI-TALUKBHIMTAL159UC",29 August 1962,"53 years, 8 month, 7 days","50,000,000","45,588,000",No,Not Applicable
SIEMENS VDO AUROMOTIVE LIMITED,U85110KA1958PLC001328,Amalgamated,-,"140, HOSUR ROAD,BANGALOREBANGALORE656KN",19 August 1958,"57 years, 8 month, 17 days","100,000,000","69,313,968",No,Not Applicable
VANAVIL DYES CHEMICALS LIMITED,L24222TN1977PLC007306,Amalgamated,-,KUDIKADU POSTCUDDALORECUDDALORE TN,23 April 1977,"39 years, 0 month, 12 days","60,000,000","49,316,000",No,Not Applicable
GE CAPITAL TRANSPORTATION FINANCIAL SERVICES LIMITED,L63040DL1985PLC021324,Amalgamated,pankaj.dikshit@ge.com,"4A, DLS CO-OPERATIVE PARK, 6THFLOOR,DLH KUTUB ENCLAVE,PH.III,GURGAON181DL",26 June 1985,"30 years, 10 month, 9 days","1,490,000,000","202,636,992",No,Not Applicable
ORG INFORMATICS LIMITED,L29308GJ1976PLC002889,Active,bvsuryakumar@gmail.com,"III FLOOR, ABHISHEK COMPLEXAKSHAR CHOWK, OLD PADRA RD.VADODARA566GJ",06 April 1976,"40 years, 0 month, 29 days","270,000,000","171,704,736",Yes,https://www.zaubacorp.com/company/ORG-INFORMATICS-LIMITED/L29308GJ1976PLC002889
NUCHEM LIMITED,L25209HR1951PLC001694,Active,arunbarar@gmail.com,"54,INDL AREA FARIDABAD.PHONE NO 2304000FARIDABAD180HR",08 August 1951,"64 years, 8 month, 28 days","1,000,000,000","296,654,720",Yes,https://www.zaubacorp.com/company/NUCHEM-LIMITED/L25209HR1951PLC001694
TAMARAI MILLS LIMITED,U17111TZ1935PLC000032,Active,amarahome@vsnl.net,"383, KAMARAJAR ROADUPPILIPALAYAM P.O.COIMBATORE695TN",09 February 1935,"81 years, 2 month, 24 days","100,000,000","31,519,378",Yes,https://www.zaubacorp.com/company/TAMARAI-MILLS-LIMITED/U17111TZ1935PLC000032
HARYANA SHEET GLASS LIMITED,U26102DL1974PLC007303,Active,asdhdas@gmail.com,"VILL. SEVLI, P.S. RAI, SONIPAT169HR",10 June 1974,"41 years, 10 month, 25 days","500,000,000","147,573,968",Yes,https://www.zaubacorp.com/company/HARYANA-SHEET-GLASS-LIMITED/U26102DL1974PLC007303
FEM CARE PHARMA LIMITED,L24246MH1986PLC040817,Amalgamated,dinesh.shah@dabur.com,"PLOT NO-03 SURVEY NO 283,285-287MANAKPURNALAGARH125HP",03 September 1986,"29 years, 8 month, 2 days","70,000,000","35,294,000",No,Not Applicable
