C A V Cotton Mills Private Limited, Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility #,Cash Credit Limit #,Long Term Bank Loan #,,,,,,,,,,,,
C B AND Sons Constructions Private Limited, Construction & Engineering Proposed Long-Term Bank Facility CRISIL BB- Stable,C B Ranwade Patil Construction Materials Term Loan Facilities CRISIL D,Proposed Long-Term Bank Facility CRISIL D,Cash Credit Limit CRISIL D,,,,,,,,,,,
C C A Private Limited, Construction & Engineering Cash Credit Limit #,Rupee Term Loans #,Bank Guarantee limit #,,,,,,,,,,,,
C Doctor and Company Private Limited, Construction & Engineering Cash Credit Limit #,Letter of Credit Limit #,Export Performance Guarantee #,,,,,,,,,,,,
C H Jewellers Private Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL BBB- Negative,,,,,,,,,,,,,,
C I L Textiles Private Limited, Textiles- Apparel & Luxury Goods Term Loan Facilities #,Foreign Bill Purchase Limit #,Export Packing Credit limits #,Letter of Credit Limit #,Foreign Bill Discounting #,,,,,,,,,,
C I Limited, Distributors Proposed Long-Term Bank Facility #,Stand by Line of Credit #,Cash Credit Limit #,Export Packing Credit #,Bank Guarantee limit #,,,,,,,,,,
C J S Specialty Chemicals Private Limited, Distributors Letter of Credit Limit CRISIL A3+,,,,,,,,,,,,,,
C L Gupta Exports Limited, Household Durables Proposed Long-Term Bank Facility CRISIL BBB+ Stable,Term Loan Facilities CRISIL BBB+ Stable,Stand by Letter of Credit CRISIL BBB+ Stable,Letter of Credit Limit CRISIL A2,Packing Credit in Foreign Currency CRISIL A2,,,,,,,,,,
C L Jain Woollen Mills Private Limited, Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility #,Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,,
C M Alloys Private Limited, Metals & Mining Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,,,
