D B Malls Private Limited, Real Estate Development Term Loan Facilities #,D C Metals Trading Companies & Distributors Cash Credit Limit CRISIL D,,,,,,,,,,,
D D International Private Limited, Food Products Cash Credit - Stock CRISIL BB- Stable,Packing Credit CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Bill Discounting Facility CRISIL A4+,D Decor Home Store LLP Engineering & Capital Goods Proposed Cash Credit Limit CRISIL A Stable,,,,,,,,
D F M Foods Limited, Personal Products Proposed Long-Term Bank Facility CRISIL BBB+,Cash Credit Limit CRISIL BBB+,Term Loan Facilities CRISIL BBB+,,,,,,,,,,
D G Infrastructure Private Limited, Construction & Engineering Rupee Term Loans #,Cash Credit Limit #,Bank Guarantee limit #,Letter of Credit Limit #,D Gem Mount Textiles- Apparel & Luxury Goods Cash Credit Limit #,Standby Line Of Credit #,D K Ceramic Building Products Term Loan Facilities CRISIL B Stable,Cash Credit Limit CRISIL B Stable,Proposed Long-Term Bank Facility CRISIL B Stable,Bank Guarantee limit CRISIL A4,,,
D M Fabrics Private Limited, Distributors Cash Credit Limit #,,,,,,,,,,,,
D P Jain And Co Infrastructure Private Limited, Construction & Engineering Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
D S Alloyd Private Limited, Metals & Mining Proposed Working Capital Facility CRISIL BB+ Stable,Cash Credit Limit CRISIL BB+ Stable,Bill Discounting CRISIL BB+ Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,,
D S Gupta Construction Private Limited, Commercial Services & Supplies Cash Credit Limit #,Proposed Long-Term Bank Facility #,Bank Guarantee limit #,,,,,,,,,,
D Thakkar Constructions Private Limited, Construction & Engineering Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
D V S Steels and Alloys Private Limited, Metals & Mining Buyers Credit #,Cash Credit Limit #,Proposed Long-Term Bank Facility #,,,,,,,,,,
D'Decor Exports Private Limited, Household Durables Proposed Long-Term Bank Facility CRISIL A Stable,Bill Discounting CRISIL A Stable,Term Loan Facilities CRISIL A Stable,Packing Credits CRISIL A1,Overdraft Facility CRISIL A1,Letter of Credit Limit CRISIL A1,,,,,,,
