36,Apeejay Tea,Apeejay Tea Limited,0,Tea - Indian - Medium / Small,Tinsukia,,http://www.apeejaygroup.com,92.56,6,1977
52,Wopolin Plastics,Wopolin Plastics Limited,1,Packaging - Polysacks,Nagpur,cs@bajajngp.com,,60.39,6.35,1970
168,Fal Inds.,Fal Industries Limited,0,Domestic Appliances - Cookers / Others,Chennai,fal@falpo.cc.gw.wiprobt.ems.vsnl.net.in,http://www.falindia.com,82.13,4.56,1962
276,Indian Aluminium,Indian Aluminium Company Limited,0,Aluminium,Kolkata,,,76.49,14.25,1938
297,Siemens VDO,Siemens VDO Automotive Limited,0,Auto Ancillaries - Instruments,Bangalore,vdoindia@blr.vsnl.net.in,http://www.siemensvdo.co.in,100.01,6.93,1958
593,Vanavil Dyes,Vanavil Dyes & Chemicals Limited,0,Dyes - Intermediate,Cuddalore,,http://www.colour-chem.com/main/vanavil/index.html,53.94,4.93,1977
611,Willard India,Willard India Limited,1,Sugar - Others,Bulandshahr,,,111.86,12.36,1973
699,Aditya Birla Mi.,Aditya Birla Minacs IT Services Limited,0,Computers - Software - Medium / Small,Bangalore,,http://www.psi.adityabirla.com,78.8,22.55,1976
1005,GE Cap.Trans.Fin,GE Capital Transportation Financial Services Limited,0,Finance - Small,New Delhi,info.gectfs@ge.com,http://www.gectfs.com,176.54,20.26,1985
1042,MH Mills & Inds,MH Mills & Industries Limited,1,Textiles - Composite/Cotton/Blended/Fabric - M/S,Ahmedabad,cs@mhmill.com,,63.54,21.75,1981
1141,GSL (India),GSL (India) Limited,1,Textiles - Spinning - Synthetic / Blended,Narmada,,,54.48,24.77,1982
1393,ORG Informatics,ORG Informatics Limited,1,Computers - Hardware - Medium / Small,Vadodara,,http://www.orgLimited.com,161.66,17.17,1976
1446,Nuchem,Nuchem Limited,1,Decoratives - Wood-based,Faridabad,nuchemho@nuchem.com,http://www.nuchem.com,64.9,29.66,1951
1944,F L Smidth,F L Smidth Limited,0,Engineering - Heavy - General - Medium / Small,Chennai,,,82.89,10.25,1986
1989,Victoria Enterpr,Victoria Enterprises Limited,1,Construction - Factories / Offices / Commercial,Mumbai,contact@pittiegroup.com,http://www.pittiegroup.com,50.25,10.5,1982
2022,GIS,GIS Limited,0,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg,Kolkata,gisho@vsnl.com,,82.84,6.42,1892
2166,Tamarai Mills,Tamarai Mills Limited,1,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg,Coimbatore,tamarai@md3.vsnl.net.in,,166.42,3.15,1935
2389,Haryana Sheet,Haryana Sheet Glass Limited,1,Glass - Sheet / Float,New Delhi,hsgl_ro@yahoo.com,,116.6,14.76,1974
2579,Jaypee Hotels,Jaypee Hotels Limited,0,Hotels - Medium,Agra,,http://www.jaypeehotels.com,172.91,55.49,1980
2677,Titagarh Steels,Titagarh Steels Limited,1,Castings - Steel / Alloy,Kolkata,corp@titagarh.biz,http://www.titagarhindustries.com,50.51,13.26,1981
2754,Indo As.Fuse-Mer,Indo Asian Fusegear Limited,0,Electric Equipment - Switchgears/Relays/Circuits,Sonipat,,http://www.indoasian.net,84,10.35,1984
3254,Uniflex Cables,Uniflex Cables Limited,1,Cables - Power - Medium / Small,Mumbai,info@uniflex.in,http://www.unicab.com,183.29,24.98,1990
3295,SRHHL Industries,SRHHL Industries Limited,0,Chemicals - Inorganic - Medium / Small,Kurnool,secretarial_srhhlind@tgvmeil.net,http://www.tgvgroup.com,61.31,12.49,1986
3402,Nachmo Knitex,Nachmo Knitex Limited,1,Textiles - Hosiery / Knitwear,Ahmedabad,,,89.63,15.03,1981
3983,Fem Care Pharma,Fem Care Pharma Limited,0,Personal Care - Indian - Medium / Small,Nasik,vpgfem@femcareindia.com,http://www.femcareworld.com,107.47,3.53,1986
4151,Akzo Nobel Chem.,Akzo Nobel Chemicals (India) Limited,0,Chemicals - Speciality - Medium / Small,Pune,,,50.39,4.9,1990
4182,Patel On Board,Patel On Board Couriers Limited,0,Couriers,Mumbai,,http://www.patel-india.com,133.49,4.7,1988
6261,Transmetal,Transmetal Limited,0,Chemicals - Speciality - Medium / Small,Vadodara,tml@transmetal-Limited.com,http://www.transmetal-Limited.com,98.46,5.25,1989
7110,SPBL,SPBL Limited,0,Textiles - Processing,Bhilwara,anurag@jp1.dot.net.in,,57.72,16.78,1984
7451,Shri Renuga Text,Shri Renuga Textiles Limited,1,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg,Theni,renuga@md2.vsnl.net.in,http://www.renugatextiles.com,122.84,20.46,1994
12301,Bengal Waterprf.,Bengal Waterproof Limited,0,Textiles - Others,Kolkata,duback@cal.vsnl.net.in,http://www.duckback.com,54.36,0.98,1940
12605,KLG Systel,KLG Systel Limited,1,Computers - Software - Medium / Small,Gurgaon,klg.ho@klgsystel.com,http://www.klgsystel.com,97.13,12.76,1985
13694,DLF Power,DLF Power Limited,0,Power Generation And Supply,Gurgaon,,,99.7,69.32,1988
14326,Standard Elec.,Standard Electricals Limited,0,Electric Equipment - General - Medium / Small,Delhi,,,74.06,3.17,1958
15937,Chadha Papers,Chadha Papers Limited,1,Paper - Medium / Small,Rampur,,,98.87,10.2,1990
15985,CLC Global,CLC Global Limited,0,Trading - Medium / Small,New Delhi,,http://www.clcglobal.com,134.28,17.82,1992
16264,Indexport,Indexport Limited,0,Solvent Extraction - Medium / Small,Mumbai,,,172.69,2.51,1963
16289,Goyal MG Gases,Goyal MG Gases Pvt Limited,0,Industrial Gas,New Delhi,aryavali@goyalgroup.com,http://www.goyalgroup.com,158.81,9.41,1973
16299,Univ. Petrochem,Universal Petrochemicals Limited,0,Lubricants,Kolkata,jaidip@vsnl.com,,62.39,0.38,1971
16654,VisualSoft Tech.,VisualSoft Technologies Limited,0,Computers - Software - Medium / Small,Hyderabad,info@vsofti.stph.net,http://www.visualsoft-tech.com,160.25,19.98,1995
17095,Ghaghara Sugar,Ghaghara Sugar Limited,0,Sugar - Others,Lakhimpur Kheri Dist,,,173.55,28.58,1983
19659,Empire & Singlo,Empire & Singlo Tea Limited,0,Tea - Indian - Medium / Small,Kolkata,,,53.86,1.08,1977
19899,Rinac Ind,Rinac India Limited,0,Miscellaneous - Medium / Small,Bangalore,,,72.09,5.98,1994
20145,B & K Securities,Batlivala & Karani Securities India Pvt Limited,0,Securities/Commodities Trading Services,Kolkata,,,70.78,23.76,1998
20219,A B N Amro Asia,A B N Amro Asia Equities (India) Limited,0,Finance - Small,Mumbai,,http://www.abnamrobroking.co.in,50.49,26.7,1993
20647,ETC Network (M),ETC Networks Limited,0,Miscellaneous - Medium / Small,Mumbai,sheetal.chitlange@zeenetwork.com,http://www.etc.in,66.66,9.74,1999
20895,Eonour Technlgy,Eonour Technologies Limited,1,Computers - Software - Medium / Small,Chennai,info@eonour.com,http://www.eonour.com,119.87,16.29,1992
22624,UM Cables,UM Cables Limited,0,Cables - Telephone,Kolkata,www.umcablesLimited.com,,162.88,43.13,1987
22813,IVRCL Assets,IVRCL Assets & Holdings Limited,0,Construction - Civil / Turnkey - Medium / Small,Hyderabad,investors@ivrclholdings.com/info@ivrclah.com,http://www.ivrclholdings.com,143.11,197.05,1996
22834,Ramco Super Lea.,Ramco Super Leathers Limited,1,Leather / Synthetic Footware - Medium / Small,Chennai,,,103.19,13.09,1998
22894,Powercell Batter,Powercell Battery India Limited,0,Dry Cells,Kolkata,,,115.36,49,1995
22925,Terra Energy,Terra Energy Limited,0,Power Generation And Supply,Chennai,,,111.82,31.03,1995
23194,Naga,Naga Limited,1,Food - Processing - Others,Chennai,marikannanv@nagamills.com,http://www.nagamills.com,186.6,13.2,1991
23200,Mirasu Mktg,Mirasu Marketing Limited,0,Trading - Medium / Small,Mumbai,,,60.32,0.92,1987
23606,Ga Danieli India,Ga Danieli India Limited,0,Miscellaneous - Medium / Small,Kolkata,,,95.89,25.61,1996
23760,Metal Powder Co.,Metal Powder Company Limited,0,Aluminium - Sheets / Coils / Wires / Others,Sivakasi,,,176.79,24.3,1961
23817,Precision Gears,Precision Gears Limited,0,Engineering - Light - General - Medium / Small,New Mumbai,accounts@precisiongear-ima.com,http://www.precisiongears-ima.com,62.05,1.79,1961
23855,Sagar Sugars&All,Sagar Sugars & Allied Products Limited,0,Sugar - Others,Chittoor,,,132.27,51.4,1994
24006,Adayar Gate Hot.,Adayar Gate Hotel Limited,0,Hotels - Medium,Chennai,ufc.park@itchotels.co.in,,132.17,11.4,1970
24320,GKN Sinter Metal,G K N Sinter Metals Limited,0,Mining / Minerals,Pune,gkn pimpri@gknsintermetals.com,,150.24,2.26,1960
24554,Singhania Bro.,Singhania Brothers Limited,1,Finance - Small,Kolkata,manibpaul@yahoo.com,,158.92,1.23,1982
25005,Best & Cromp Eng,Best & Crompton Engg Projects Limited,0,Engineering - Turnkey Services,Chennai,bcepl@bestandcrompton.com,http://www.bestcrompton.com,57.02,34.35,1999
25081,V S L Wires,V S L Wires Limited,0,Steel - Medium / Small,Thane,viel@giasbm01.vsnl.net.in,,168.49,3.87,1995
25274,Agrocel Ind.,Agrocel Industries Limited,0,Chemicals - Inorganic - Medium / Small,Bhuj Kachchh,agrocelho@rediffmail.com,http://www.agrocel.co.in,78.47,4,1985
