20 MICRONS LIMITED,L99999GJ1987PLC009768,Active,co_secretary@20microns.com,"F-140, M.I.A. ALWAR197RJ",29 June 1987,"28 years, 10 month, 10 days","300,000,000","176,432,512",Yes,https://www.zaubacorp.com/company/20-MICRONS-LIMITED/L99999GJ1987PLC009768
20 MICRONS NANO MINERALS LIMITED,U15543GJ1993PLC020540,Active,enquiry@20nano.com,"9-10, GIDCWADHODIAVADODARA566GJ",28 October 1993,"22 years, 6 month, 12 days","100,000,000","64,700,200",No,Not Applicable
3F INDUSTRIES LIMITED,U24120AP1960PLC000888,Active,tpg@fff.co.in,"POST BOX NO.15,TANUKU ROAD,TADEPALLI GUDEM627AP",10 May 1960,"55 years, 11 month, 30 days","180,000,000","104,566,480",Yes,https://www.zaubacorp.com/company/3F-INDUSTRIES-LIMITED/U24120AP1960PLC000888
3G TELECOM INFRA INDIA PRIVATE LIMITED,U64201TG2009PTC064241,Active,3gtelecominfra@gmail.com,"1-5-1015/20A, MANJEERA NAGARCOLONY, OLD ALWALSECUNDERABAD617TS",03 July 2009,"6 years, 10 month, 6 days","12,500,000","11,992,260",Yes,https://www.zaubacorp.com/company/3G-TELECOM-INFRA-INDIA-PRIVATE-LIMITED/U64201TG2009PTC064241
3I INFOTECH LIMITED,L67120MH1993PLC074411,Active,compliance@3i-infotech.com,"TOWER NO 5, 3-6TH FLR,INTERNATIONALINFOTECH PARK,VASHI STN.COMPLEXVASHI597MH",11 October 1993,"22 years, 6 month, 29 days","12,000,000,000","7,058,039,300",Yes,https://www.zaubacorp.com/company/3I-INFOTECH-LIMITED/L67120MH1993PLC074411
4G IDENTITY SOLUTIONS PRIVATE LIMITED,U72200TG2007PTC054636,Active,admin@4gid.com,"PLOT NO. 241, RD.72, PRASHASAN NAGAJUBILEE HILLSHYDERABAD617TS",27 June 2007,"8 years, 10 month, 12 days","240,000,000","238,550,000",No,Not Applicable
A & J MICRONS PRIVATE LIMITED,U26933GJ2013PTC077430,Active,info@ajmicrons.com,"RAJKOT-KANDLA HIGHWAYAT-DHARAMPUR,MORBI-2MORBI827GJ",07 November 2013,"2 years, 6 month, 2 days","85,000,000","80,000,000",No,Not Applicable
A B COTSPIN INDIA LIMITED,U17111PB1997PLC020118,Active,sanjeev@giindustries.in,BATHINDA ROADJAITUJAITU142PB,23 June 1997,"18 years, 10 month, 16 days","50,000,000","24,694,000",Yes,https://www.zaubacorp.com/company/A-B-COTSPIN-INDIA-LIMITED/U17111PB1997PLC020118
A B ROLLING MILLS PRIVATE LIMITED,U27100GJ2007PTC050668,Active,Salujasuresh@gmail.com,"S NO 39/41, VILLAGE MANDASARIGAMUMERGAON572GJ",26 April 2007,"9 years, 0 month, 13 days","5,000,000","3,002,000",Yes,https://www.zaubacorp.com/company/A-B-ROLLING-MILLS-PRIVATE-LIMITED/U27100GJ2007PTC050668
A E INFRA PROJECTS PRIVATE LIMITED,U45200MH2009PTC196191,Active,gfiind@vsnl.com,"A/06, OM SATYA PUSHAP CHSNEAR SARASWATI ENGLISH HIGH SCHOOLPANCHPAKHADI597MH",01 October 2009,"6 years, 7 month, 8 days","10,000,000","5,100,000",No,Not Applicable
