B D CORPORATES PRIVATE LIMITED,U15311WB2003PTC096462,Active,carajesh_agarwal@yahoo.com,"PURUSOTTAM BATI,SUGANDHYA77 N,S.ROAD,4TH FLOOR,KOL700001 428WB",25 June 2003,"12 years, 10 month, 16 days","70,000,000","69,215,000",Yes,https://www.zaubacorp.com/company/B-D-CORPORATES-PRIVATE-LIMITED/U15311WB2003PTC096462
B K THRESHERS PRIVATE LIMITED,U16000AP2009PTC064970,Active,drravi@bvlgroup.org,"D.NO.5,6,34,KALIKIVAYA(VILLAGE)SINGARAYAKONDA MANDALSINGARAYAKONDA MANDAL630AP",08 September 2009,"6 years, 8 month, 3 days","400,000,000","400,000,000",No,Not Applicable
B L A POWER PRIVATE LIMITED,U40102MH2006PTC165430,Active,compsec@bla.co.in,"VILLAGE-NIWARI, POST-KHURSIPURTEH-GADARWARANARSINGHPUR541MP",08 November 2006,"9 years, 6 month, 3 days","1,000,000,000","973,884,930",Yes,https://www.zaubacorp.com/company/B-L-A-POWER-PRIVATE-LIMITED/U40102MH2006PTC165430
B R AGROTECH LIMITED,U74899DL2000PLC103860,Active,dhawan@bharatgrouop.co.in,VILL.AWANKHADADWAN ROADDINA NAGAR130PB,21 February 2000,"16 years, 2 month, 19 days","20,000,000","19,992,000",Yes,https://www.zaubacorp.com/company/B-R-AGROTECH-LIMITED/U74899DL2000PLC103860
B R SPONGE AND POWER LIMITED,U27101OR2003PLC007028,Active,brsponge1@gmail.com,AT-TUMKELAPO-RAJAMUNDARAJAMUNDA459OR,10 January 2003,"13 years, 4 month, 1 days","90,000,000","79,388,000",Yes,https://www.zaubacorp.com/company/B-R-SPONGE-AND-POWER-LIMITED/U27101OR2003PLC007028
B S TAR PRIVATE LIMITED,U51109WB1999PTC090324,Active,bstarltd@hotmail.com,"ALAMPORE MORE,NH-VI,ANDUL,PO-NEW KOROLA,HOW.PH-229-3084/5423/6227. HOWRAH",17 September 1999,"16 years, 7 month, 24 days","25,000,000","19,734,000",Yes,https://www.zaubacorp.com/company/B-S-TAR-PRIVATE-LIMITED/U51109WB1999PTC090324
B & A PACKAGING INDIA LIMITED,L21021OR1986PLC001624,Active,debdip_chowdhury@yahoo.com,"22,BALAGOPALPUR, INDUSTRIAL AREA22,BALAGOPALPUR, INDUSTRIAL AREABALASORE462OR",16 January 1986,"30 years, 3 month, 26 days","80,000,000","49,802,500",Yes,https://www.zaubacorp.com/company/B-A-PACKAGING-INDIA-LIMITED/L21021OR1986PLC001624
B&H TEXFAB PRIVATE LIMITED,U01403PB2008PTC032464,Active,bmvindia@hotmail.com,VILL. HUSSAINPURAG T ROAD WESTLUDHIANA138PB,08 December 2008,"7 years, 5 month, 3 days","40,000,000","34,922,300",Yes,https://www.zaubacorp.com/company/B-H-TEXFAB-PRIVATE-LIMITED/U01403PB2008PTC032464
B.BRAUN MEDICAL INDIA PRIVATE LIMITED,U33112MH1984PTC214514,Active,smriti.mahajan@bbraun.com,PANAJIPANAJIPANAJI665GA,28 March 1984,"32 years, 1 month, 14 days","591,000,000","590,908,220",No,Not Applicable
B.C.BHUYAN CONSTRUCTIONS PRIVATE LIMITED,U70101OR2007PTC009232,Active,bcbhuyanconstruction@rediffmail.com,"PLOT NO.-890PALASUNI, RASULGARHBHUBANESWAR471OR",20 March 2007,"9 years, 1 month, 22 days","10,000,000","10,000,000",No,Not Applicable
