C A V COTTON MILLS PRIVATE LIMITED,U17115TZ1987PTC002014,Active,finance@cavmills.in,"VELLAPOMMANPATTY,VADAMADURAITRICHY ROADVADAMADURAI696TN",28 July 1987,"28 years, 9 month, 16 days","60,000,000","60,000,000",Yes,https://www.zaubacorp.com/company/C-A-V-COTTON-MILLS-PRIVATE-LIMITED/U17115TZ1987PTC002014
C B & SONS CONSTRUCTIONS PRIVATE LIMITED,U45202MH2010PTC208815,Active,snagaral@gmail.com,"PLOT NO.71, D-1, NANDAR C.H.S.LTD.RCS-21, GORAI- 1BORIVALI (W)598MH",10 October 2010,"5 years, 7 month, 3 days","20,000,000","10,080,000",No,Not Applicable
C DOCTOR AND COMPANY PRIVATE LIMITED,U74999GJ1944PTC077348,Active,vkthakkar@cdoctorindia.com,"NTPC,SIPAT SITE,BILASPURBILASPUR491CG",09 February 1944,"72 years, 3 month, 4 days","7,500,000","7,500,000",Yes,https://www.zaubacorp.com/company/C-DOCTOR-AND-COMPANY-PRIVATE-LIMITED/U74999GJ1944PTC077348
C H JEWELLERS PRIVATE LIMITED,U36911GJ2001PTC039772,Active,accounts@chjewellers.co.in,18/19 PANORAMA COMPLEXALKAPURIVADODARA566GJ,12 July 2001,"14 years, 10 month, 1 days","100,000,000","91,000,000",No,Not Applicable
I A AND I C PRIVATE LIMITED,U24139MH1962PTC012366,Active,cosec@jik.co.in,"16, GUNDECHA CHAMBERSNAGINDAS MASTER RD, FORT 599MH",30 May 1962,"53 years, 11 month, 14 days","10,000,000","8,718,000",No,Not Applicable
C L GUPTA EXPORTS LIMITED,U74999DL2004PLC125090,Active,PANKAJ@CLGUPTA.COM,DELHI ROADJYOTIBA PHULE NAGARJYOTIBA PHULE NAGAR230UP,10 March 2004,"12 years, 2 month, 3 days","150,000,000","100,000,000",Yes,https://www.zaubacorp.com/company/C-L-GUPTA-EXPORTS-LIMITED/U74999DL2004PLC125090
C M SMITH AND SONS LIMITED,U17297GJ1998PLC034205,Active,info@cmsmith.in,"SARVEY NO 70/71,VILL ZAK,TALDEHGAM,DIST GANDHINAGARGANDHINAGAR553GJ",01 June 1998,"17 years, 11 month, 12 days","230,000,000","221,701,744",Yes,https://www.zaubacorp.com/company/C-M-SMITH-AND-SONS-LIMITED/U17297GJ1998PLC034205
C.P SPONGE IRON PRIVATE LIMITED,U27101WB2002PTC094209,Active,info@chawlaonline.com,"RATURIA, ANGADPURDURGAPUR BURDWAN",08 February 2002,"14 years, 3 month, 5 days","60,000,000","51,432,500",Yes,https://www.zaubacorp.com/company/C-P-SPONGE-IRON-PRIVATE-LIMITED/U27101WB2002PTC094209
C R BROADCASTING HYDERABAD LIMITED,U93000TG2000PLC033883,Active,accounts@99tv.co,"C R BROADCASTING HYDERABAD LIMITEDSY NO 59,BESIDE RTO OFFICE,KONDAPURGACHIBOWLI618TS",20 March 2000,"16 years, 1 month, 24 days","300,000,000","123,696,400",No,Not Applicable
C&S ELECTRIC LIMITED,U31909DL1971PLC005672,Active,lalit.khanna@cselectric.co.in,"B-I, SITE-IV, SURAJPUR INDUSTRIALAREAGREATER NOIDA234UP",15 June 1971,"44 years, 10 month, 28 days","700,000,000","486,515,904",Yes,https://www.zaubacorp.com/company/C-S-ELECTRIC-LIMITED/U31909DL1971PLC005672
