D B MALLS PRIVATE LIMITED,U45203MP2006PTC018699,Active,csbpl2008@yahoo.co.in,"D B CITY, MALL MANAGEMENT OFFICE,5 TH FLOOR, ARERA HILLSBHOPAL533MP",14 June 2006,"9 years, 11 month, 0 days","100,000,000","93,000,000",Yes,https://www.zaubacorp.com/company/D-B-MALLS-PRIVATE-LIMITED/U45203MP2006PTC018699
D D INTERNATIONAL PRIVATE LIMITED,U51909PB1995PTC016929,Active,raj@ddi.in,"KAITHAL ROAD, BRIJ COMPLEX,KARNAL, DISTT KARNALKARNALKARNALHR",22 August 1995,"20 years, 8 month, 23 days","160,000,000","92,500,000",Yes,https://www.zaubacorp.com/company/D-D-INTERNATIONAL-PRIVATE-LIMITED/U51909PB1995PTC016929
D G INFRASTRUCTURE PRIVATE LIMITED,U45401MH2004PTC146369,Under Liquidation,returns@msucas.com,"A/207,PUNIT CHAMBERS,T.B RD.TURBHE,NAVI MUMBAITURBHENAVI MUMBAI",17 May 2004,"11 years, 11 month, 28 days","11,000,000","11,000,000",No,Not Applicable
D P JAIN AND CO INFRASTRUCTURE PRIVATE LIMITED,U45200MH2004PTC150149,Active,dpjain.company@dpjaingroup.com,"U/6, HIMALAYA ACCORD,AMRAVATI ROADOPP.LAW COLLEGE,NAGPUR PH:2535357Nagpur585MH",22 December 2004,"11 years, 4 month, 23 days","300,000,000","203,837,728",Yes,https://www.zaubacorp.com/company/D-P-JAIN-AND-CO-INFRASTRUCTURE-PRIVATE-LIMITED/U45200MH2004PTC150149
D S ALLOYD PRIVATE LIMITED,U27109DL2002PTC115885,Active,dsalloyspl@yahoo.co.in,"AN-2, SHALIMAR BAGH DELHI181DL",20 June 2002,"13 years, 10 month, 24 days","50,000,000","49,228,000",Yes,https://www.zaubacorp.com/company/D-S-ALLOYD-PRIVATE-LIMITED/U27109DL2002PTC115885
D THAKKAR CONSTRUCTIONS PRIVATE LIMITED,U45200MH2004PTC147249,Active,pnthakkar2007@gmail.com,"1105,UNIVERSAL MAJESTIC,P LLOKHANDE MARG,CHEMBUR WESTMUMBAI598MH",01 July 2004,"11 years, 10 month, 13 days","150,000,000","98,413,040",Yes,https://www.zaubacorp.com/company/D-THAKKAR-CONSTRUCTIONS-PRIVATE-LIMITED/U45200MH2004PTC147249
D'DECOR EXPORTS PRIVATE LIMITED,U17120MH2013PTC248691,Active,bhaven@ddecor.com,"PLOT NO. G-7/1,M.I.D.C. INDUSTRIAL AREA TARAPURDIST. THANE597MH",30 September 2013,"2 years, 7 month, 14 days","50,000,000","40,000,000",Yes,https://www.zaubacorp.com/company/D-DECOR-EXPORTS-PRIVATE-LIMITED/U17120MH2013PTC248691
D-LINK (INDIA) LIMITED.,L72900GA2008PLC005775,Active,shares@dlink.co.in,"PLOT NO. U2B, VERNA IND.ESTATE,VERNA SALCETTE GOAVERNA666GA",26 May 2008,"7 years, 11 month, 19 days","140,000,000","71,009,696",Yes,https://www.zaubacorp.com/company/D-LINK-INDIA-LIMITED-/L72900GA2008PLC005775
D. NAVINCHANDRA EXPORTS PRIVATE LIMITED,U51398MH2005PTC155937,Active,legal@dnavin.com,"PLOT NO. 102A, ASARAWALA COMPOUND,OPP. BAMBAWADI, NR.KRISHNA CIRCLE,KATARGAM, SURAT569GJ",06 September 2005,"10 years, 8 month, 8 days","23,100,000","816,300",No,Not Applicable
D VIJAY PHARMA PRIVATE LIMITED,U24230MH2003PTC140762,Active,ho@dvijaypharma.com,SAFATYA APPT.GOLE COLONYNASIK596MH,06 June 2003,"12 years, 11 month, 8 days","10,000,000","8,612,600",No,Not Applicable
D.D.BUILDERS LIMITED,U45202OR1994PLC003671,Active,dineshsharma_ddbl@yahoo.co.in,AT: LADUGAONPO:LADUGAONLADUGAON480OR,04 August 1994,"21 years, 9 month, 10 days","50,000,000","10,929,100",Yes,https://www.zaubacorp.com/company/D-D-BUILDERS-LIMITED/U45202OR1994PLC003671
D.S.R. INFRASTRUCTURE PRIVATE LIMITED,U45200TG2007PTC052586,Active,dlssreshti@gmail.com,"PLOT 901,101AYYAPPA SOCIETY MAIN RDBESIIDE MANTHAN SCHOOLMADHAPUR617TS",02 February 2007,"9 years, 3 month, 12 days","100,000,000","70,739,000",Yes,https://www.zaubacorp.com/company/D-S-R-INFRASTRUCTURE-PRIVATE-LIMITED/U45200TG2007PTC052586
D.V. STEEL INDUSTRIES PRIVATE LIMITED,U74899OR1994PTC016911,Active,sapna.jain29@gmail.com,"AT:-MANDIA KUDAR,CHUNGIMATIKANSABAHAL459OR",21 February 1994,"22 years, 2 month, 21 days","30,000,000","14,793,000",Yes,https://www.zaubacorp.com/company/D-V-STEEL-INDUSTRIES-PRIVATE-LIMITED/U74899OR1994PTC016911
D2S INFRASTRUCTURES PRIVATE LIMITED,U45203AS2003PTC007108,Active,d2sinfrastructure@gmail.com,HOUSE NO.457A T ROADGUWAHATIKAMRUP ASSAM,23 May 2003,"12 years, 11 month, 22 days","80,000,000","80,000,000",Yes,https://www.zaubacorp.com/company/D2S-INFRASTRUCTURES-PRIVATE-LIMITED/U45203AS2003PTC007108
DARCL LOGISTICS LIMITED,U60222DL1986PLC026342,Active,cs@darcl.com,"19/3, TILAK BAZARHISARHISAR173HR",10 December 1986,"29 years, 5 month, 4 days","450,000,000","252,000,000",Yes,https://www.zaubacorp.com/company/DARCL-LOGISTICS-LIMITED/U60222DL1986PLC026342
DBM GEOTECHNICS AND CONSTRUCTIONS PRIVATE LIMITED,U74999MH1993PTC074683,Active,dbm@dbm.in,"B/301,CENTAUR HOUSE, 3RD FLR,SHANTINGR INDL.ESTATE,VAKOLA,SANTACRUZ (E)598MH",22 October 1993,"22 years, 6 month, 23 days","500,000,000","327,753,888",Yes,https://www.zaubacorp.com/company/DBM-GEOTECHNICS-AND-CONSTRUCTIONS-PRIVATE-LIMITED/U74999MH1993PTC074683
DCM SHRIRAM LIMITED,L74899DL1989PLC034923,Active,sameetgambhir@dcmshriram.com,"18, B.K.ROADNEW DELHINEW DELHI181DL",06 February 1989,"27 years, 3 month, 8 days","1,240,000,000","326,400,000",Yes,https://www.zaubacorp.com/company/DCM-SHRIRAM-LIMITED/L74899DL1989PLC034923
DDN SFA LIMITED,U01403MH2010PLC204961,Active,caarunrt@rediffmail.com,"OPP. PEROL PUMP,SHIVAJI CHOWK,MURUDLATURMH",28 June 2010,"5 years, 10 month, 16 days","45,000,000","38,475,000",No,Not Applicable
DDPL GLOBAL INFRASTRUCTURE PRIVATE LIMITED,U45202MH2008PTC180487,Active,account@unicornglobal.co,UNICORN HOUSE SHREEJIVIHAROPP.MTNL S.V. ROADKANDIVALI WEST MUMBAI598MH,27 March 2008,"8 years, 1 month, 18 days","50,000,000","43,068,000",No,Not Applicable
DEE CONTROL AND ELECTRIC PRIVATE LIMITED,U29306UP2001PTC026160,Active,admin@mma.org.in,"C-10, SITE 1 PANKI IND AREASITE-1 PANKIKANPUR258UP",03 August 2001,"14 years, 9 month, 11 days","120,000,000","120,000,000",No,Not Applicable
DF POWER SYSTEMS PRIVATE LIMITED,U51505KA2007PTC041717,Active,srivatsa.n@tdps.co.in,"27,28 - 29, KIADB INDL AREADOBASPET, NELAMANGALABANGALORE657KN",07 February 2007,"9 years, 3 month, 7 days","75,000,000","60,000,000",No,Not Applicable
DH CONSULTANTS PRIVATE LIMITED,U74999MH2000PTC124842,Active,vandana.rajhansa@dhc.co.in,"215, NARIMAN POINT42, FREE PRESS HOUSEMUMBAI599MH",13 March 2000,"16 years, 2 month, 1 days","50,000,000","34,440,832",Yes,https://www.zaubacorp.com/company/DH-CONSULTANTS-PRIVATE-LIMITED/U74999MH2000PTC124842
DHFL VYSYA HOUSING FINANCE LIMITED,U66010KA1990PLC011409,Active,lourdunathan.MS@dvhousing.com,"S-401, 4TH FLOOR, BRIGADE PLAZA,ANANDA RAO CIRCLE, S C ROAD,BANGALORE656KN",26 November 1990,"25 years, 5 month, 18 days","200,000,000","110,807,048",Yes,https://www.zaubacorp.com/company/DHFL-VYSYA-HOUSING-FINANCE-LIMITED/U66010KA1990PLC011409
DIC INDIA LIMITED,L24223WB1947PLC015202,Active,b.desarkar@dic.co.in,"C-189, MAYA PURI INDUSTRIAL AREA,PHASE-IINEW DELHI181DL",02 April 1947,"69 years, 1 month, 12 days","150,000,000","91,789,768",Yes,https://www.zaubacorp.com/company/DIC-INDIA-LIMITED/L24223WB1947PLC015202
DIL LIMITED,L99999MH1951PLC008485,Active,contact@dil.net,"OPP.TATWAGYAN VIDHYPETH,DIL COMPLEXGHODBUNDER ROAD, THANETHANE597MH",01 May 1951,"65 years, 0 month, 13 days","50,000,000","22,932,000",Yes,https://www.zaubacorp.com/company/DIL-LIMITED/L99999MH1951PLC008485
DJ ENERGY PRIVATE LIMITED,U40100DL2008PTC180887,Active,secretarial@continuumenergy.in,OFFICE NO 1 GANDHI COLONYRATLAMJAORA521MP,14 July 2008,"7 years, 10 month, 0 days","1,700,000,000","846,000,000",No,Not Applicable
DJPR CONSTRUCTIONS PRIVATE LIMITED,U45200TG2009PTC062959,Active,krishnaraoars@gmail.com,H NO 1-103/A PLOT NO 49 3RDMADHAPURHYDERABAD617TS,04 March 2009,"7 years, 2 month, 10 days","15,000,000","10,000,000",No,Not Applicable
DK INFRASTRUCTURE PRIVATE LIMITED,U45203MH2008PTC178804,Active,abhay.gandhi@dkinfra.com,"PLOT NO. 36/37 CGOVIND PURI, RAM NAGAR, SODALAJAIPUR203RJ",12 February 2008,"8 years, 3 month, 2 days","20,000,000","14,890,000",Yes,https://www.zaubacorp.com/company/DK-INFRASTRUCTURE-PRIVATE-LIMITED/U45203MH2008PTC178804
